i,j,x
2,20,1
3,15,1
4,21,1
5,1,1
5,19,1
5,20,2
5,65,1
7,19,1
8,1,1
8,7,1
8,8,1
8,21,2
9,24,1
9,64,1
11,23,1
13,19,1
14,8,1
15,7,1
15,8,1
15,20,3
15,62,1
16,20,1
17,20,1
17,51,1
18,60,1
19,7,1
19,8,1
19,20,2
20,19,2
20,52,2
22,1,1
22,15,1
23,1,1
23,7,1
24,19,1
24,52,1
25,19,1
26,52,1
27,7,1
28,19,1
28,20,1
28,52,1
29,14,1
29,33,1
30,17,1
31,23,1
32,19,1
32,23,1
32,52,1
33,20,1
34,17,1
34,23,1
34,41,1
36,16,1
37,7,1
37,8,1
37,20,3
37,23,1
37,62,1
39,17,1
39,20,1
39,26,1
39,57,1
39,64,1
40,1,1
41,20,1
41,64,1
42,4,1
43,1,1
43,18,1
43,19,1
43,20,1
43,52,1
43,53,1
44,2,1
45,20,1
45,23,1
45,27,1
47,19,1
47,23,2
48,8,1
50,15,1
50,20,1
51,25,1
52,20,1
53,4,1
53,19,1
53,20,1
55,1,1
56,19,1
57,19,1
57,22,1
58,6,1
58,12,1
59,46,1
59,63,1
60,12,1
60,27,1
61,7,2
61,8,1
61,20,4
61,62,1
63,20,1
63,44,1
63,62,1
65,1,1
65,16,1
67,1,1
67,18,1
67,19,1
67,20,1
67,22,1
67,51,1
70,19,1
73,26,1
74,1,1
74,7,1
74,18,1
74,62,1
75,17,1
77,8,1
77,26,1
78,6,1
78,19,1
79,20,1
79,33,1
80,9,1
80,17,1
80,64,1
81,19,1
82,1,2
82,18,1
82,39,1
82,52,1
83,20,1
84,19,1
84,23,1
84,24,1
84,44,1
85,33,1
86,1,1
86,18,1
86,19,1
87,22,1
87,32,1
88,1,1
88,18,1
89,23,1
89,40,1
90,17,1
91,1,1
91,20,1
92,20,2
93,19,1
93,31,1
94,23,1
94,26,1
95,31,1
97,64,1
98,16,1
98,23,1
99,6,1
99,10,1
100,17,1
100,20,1
100,64,1
101,7,1
102,20,1
103,12,1
103,51,1
104,1,1
104,18,1
105,8,1
106,20,1
106,21,1
107,19,1
108,1,1
108,18,1
108,20,2
108,26,2
108,52,4
110,19,1
110,20,1
110,26,1
111,19,1
112,20,1
113,20,1
114,15,1
114,20,1
114,43,1
115,9,1
115,19,1
115,20,1
116,18,1
116,20,1
117,4,1
117,17,1
117,20,1
117,27,1
118,61,1
119,6,1
119,24,1
120,8,2
121,20,1
121,52,1
122,6,1
122,10,1
123,17,1
124,7,1
124,8,1
124,20,3
124,62,1
125,16,1
126,17,1
126,19,1
129,1,1
129,7,1
129,20,1
129,53,1
130,19,1
130,26,1
131,16,1
132,6,1
132,8,2
133,19,1
133,38,1
134,26,1
134,51,1
136,20,2
136,23,1
137,23,1
138,19,1
138,26,1
141,17,1
141,20,1
142,20,1
143,20,1
143,26,1
144,20,1
144,33,1
146,15,1
147,1,1
147,18,1
147,39,1
148,23,1
148,46,1
148,63,1
149,51,1
150,49,1
151,29,1
152,20,1
153,8,1
153,23,1
153,29,1
153,35,1
154,12,1
154,16,1
155,17,1
155,26,1
156,6,1
156,10,1
157,19,1
157,20,1
158,1,1
158,21,9
158,33,1
159,31,1
159,60,1
160,19,1
161,20,1
161,23,1
162,22,1
162,32,1
163,33,1
164,1,1
164,18,1
164,20,1
164,33,1
165,8,1
165,9,1
165,20,1
165,35,1
167,6,1
167,15,1
168,6,1
168,7,1
168,20,1
169,43,1
173,1,1
173,18,1
173,20,1
173,45,1
173,52,1
174,20,2
175,18,1
175,20,1
176,1,1
176,18,1
176,19,2
176,31,1
176,52,2
177,20,1
177,64,1
178,20,1
180,1,1
180,20,1
180,27,2
181,1,1
181,18,1
182,51,1
183,18,1
183,20,1
183,24,1
184,16,1
185,20,1
186,6,1
186,17,1
187,22,1
188,18,1
188,20,1
188,38,1
191,20,1
191,33,2
192,6,1
192,10,1
193,1,1
194,1,1
194,18,1
195,19,1
195,24,1
195,26,1
196,6,1
196,10,1
197,1,1
198,1,1
198,17,1
198,19,2
199,15,1
200,17,1
200,20,1
201,7,1
201,8,1
