id,word
0,starwars
1,r2
2,k2
3,jedi
4,VII
5,episode
6,win
7,ticket
8,december
9,love
10,hate
11,can't
12,cannot
13,wait
14,abrams
15,excited
16,trailer
17,theforceawakens
18,new
19,rt
20,!!
21,kylo ren
22,no
23,spot
24,rumour
25,movie
26,best
27,huge
28,premiere
29,mistake
30,spoiler
31,lightsaber
32,days
33,counting
34,ready
35,upcoming
36,bring
37,soundtrack
38,disney
39,watching
40,teaser
41,believe
42,video
43,detail
44,nerd
45,only
46,looks
47,ouch
48,countdown
49,holy shit
50,come
51,poster
52,cool
53,fuck
54,exciting
55,honest
56,like
57,cry
58,epic
59,need
60,really
61,chance
62,only
63,official
64,pumped
65,sucks
