i,j,x
2,13,1
2,23,1
2,33,1
2,42,1
2,57,1
3,33,1
3,54,1
4,20,1
4,27,1
5,35,1
6,52,1
7,19,1
7,24,1
8,1,1
8,10,1
9,23,1
10,20,1
12,1,1
12,60,1
13,22,1
13,24,1
15,7,1
15,19,1
16,1,1
17,16,1
18,22,1
18,24,1
19,1,1
19,20,2
21,19,1
21,31,1
22,16,1
23,16,1
23,17,1
23,61,1
24,20,2
24,22,1
25,17,1
25,39,1
26,18,1
26,20,1
26,38,1
27,6,1
27,10,1
28,23,1
29,40,1
30,19,2
31,6,1
31,26,1
31,33,1
31,41,1
32,11,1
32,16,1
32,20,1
32,23,1
33,9,1
34,7,1
34,60,1
35,23,1
35,40,1
36,18,1
38,43,1
38,57,1
39,20,1
40,19,1
40,37,1
41,22,1
42,1,1
46,1,1
46,23,1
46,33,1
46,57,1
47,22,1
48,10,1
49,35,1
50,1,1
50,23,1
51,24,1
52,1,1
53,24,1
56,20,2
56,26,1
56,31,1
56,43,1
57,20,1
58,17,1
58,19,1
58,39,1
60,6,1
60,10,1
62,16,1
63,19,1
63,23,1
63,39,1
64,8,1
64,33,1
64,46,1
64,63,1
65,31,1
67,8,1
67,26,1
71,29,1
72,26,1
73,33,1
74,17,1
75,19,1
75,20,1
75,22,1
75,24,1
77,43,1
77,57,1
78,19,1
78,22,1
78,24,1
79,1,1
80,20,1
80,52,1
81,33,1
82,15,1
83,20,2
83,23,1
84,13,1
84,23,1
85,20,1
86,43,1
86,57,1
87,17,1
87,18,1
88,20,1
88,64,1
89,20,1
90,20,1
90,46,1
90,58,1
90,63,1
91,1,1
91,20,1
91,39,1
91,43,1
92,24,1
92,26,1
93,1,2
93,18,1
93,19,2
93,20,1
94,1,1
94,18,1
95,2,1
96,46,1
96,61,1
96,63,1
97,20,1
98,20,1
99,20,1
100,20,1
101,7,1
101,26,1
102,20,1
103,6,1
103,10,1
106,1,3
106,10,1
106,18,1
106,20,1
106,21,1
107,15,1
107,19,1
107,24,1
108,6,1
108,10,1
109,26,1
110,19,1
110,20,1
111,32,1
111,46,1
111,47,1
111,63,1
113,1,1
113,18,1
114,1,1
114,52,1
115,20,1
115,51,1
116,1,1
116,17,1
116,18,1
117,21,2
117,24,1
117,64,1
118,16,1
119,20,1
119,61,1
121,7,1
121,29,1
122,35,1
123,6,1
125,6,1
125,10,1
126,8,1
126,16,1
126,21,1
128,20,1
129,20,1
131,7,1
131,8,1
131,20,3
131,62,1
132,33,1
133,19,2
133,20,1
134,17,1
134,18,1
134,20,1
135,35,1
135,40,1
136,60,1
137,8,1
138,20,1
138,22,1
139,1,1
139,9,1
139,18,1
139,37,1
139,39,1
140,20,1
140,23,1
141,23,2
141,26,1
142,20,1
142,43,1
142,57,1
143,15,1
143,19,1
143,24,1
143,32,1
144,20,1
145,9,1
145,20,1
145,51,1
146,17,1
146,19,1
146,20,1
147,20,1
147,27,1
147,33,1
147,54,1
148,2,1
148,4,1
148,20,1
148,23,1
148,60,1
150,17,1
150,19,1
150,20,1
151,19,1
151,26,1
152,1,2
152,20,1
153,19,1
154,6,1
154,10,1
155,6,1
155,10,1
156,20,1
157,1,1
157,16,1
158,2,1
158,19,1
158,20,1
160,1,1
160,23,1
161,1,1
161,15,1
161,18,1
161,20,1
161,32,1
162,6,1
162,17,1
162,19,1
163,19,1
164,1,1
164,18,1
164,20,2
164,52,1
165,20,1
166,7,1
166,8,1
166,20,1
166,29,1
167,1,1
167,20,1
167,26,1
168,4,1
168,6,1
168,40,1
169,51,1
170,20,1
171,20,1
172,6,1
174,17,1
174,20,1
175,1,1
175,52,1
176,1,1
176,31,1
179,20,1
180,24,1
181,20,1
181,35,1
182,1,1
183,45,1
184,15,1
186,20,1
186,33,1
187,33,1
188,1,1
188,18,1
188,19,1
189,6,1
189,10,1
190,60,1
193,18,1
193,19,1
193,22,1
193,24,1
194,1,1
194,20,1
194,24,1
194,26,1
196,7,1
196,8,1
196,20,2
197,51,1
198,33,1
199,20,1
201,7,1
202,20,1
203,1,1
204,17,1
206,6,1
206,10,1
207,7,1
208,17,1
209,6,1
209,10,1
210,26,1
210,51,1
212,1,1
