i,j,x
2,2,1
2,11,1
2,12,1
2,37,1
3,1,1
3,2,1
3,11,1
3,12,1
3,37,1
4,1,1
4,2,1
4,37,1
5,1,1
5,2,1
5,29,1
5,37,1
5,39,1
6,1,2
6,2,2
6,25,1
6,37,2
7,1,2
7,2,2
7,8,1
7,9,1
7,26,1
7,27,1
7,37,2
8,1,1
8,2,1
8,12,2
8,37,1
9,2,1
9,26,1
9,37,1
10,2,1
10,37,1
11,1,1
11,2,1
11,37,1
12,1,1
12,2,1
12,11,1
12,12,1
12,15,1
12,37,1
13,11,1
13,12,1
13,26,1
14,1,1
14,2,1
14,25,1
14,36,1
14,37,1
15,1,1
15,2,1
15,29,1
15,37,1
16,1,2
16,2,2
16,11,1
16,12,1
16,26,1
16,37,2
17,1,1
17,2,1
17,11,1
17,12,1
17,37,1
18,1,1
18,2,1
18,11,1
18,12,1
18,37,1
19,2,1
19,11,1
19,12,1
19,37,1
20,2,1
20,37,1
21,1,1
21,2,1
21,37,1
22,2,2
22,12,1
22,37,2
22,39,1
23,1,1
23,2,1
23,37,1
24,1,1
24,2,1
24,9,3
24,37,1
25,1,1
25,2,1
25,37,1
26,1,1
26,2,1
26,37,1
27,1,1
27,2,1
27,9,1
27,37,1
28,1,1
28,2,1
28,30,1
28,37,1
28,39,1
29,1,1
29,2,1
29,37,1
29,39,1
30,2,1
30,37,1
31,1,1
31,2,1
31,11,1
31,12,1
31,37,1
33,1,1
33,2,1
33,11,1
33,12,1
33,37,1
34,1,1
34,2,1
34,11,1
34,12,1
34,37,1
35,1,1
35,2,1
35,11,1
35,12,1
35,37,1
36,2,1
36,9,1
36,37,1
37,1,1
37,2,1
37,11,1
37,12,1
37,37,1
38,1,1
38,2,1
38,37,1
39,1,1
39,2,1
39,11,1
39,12,1
39,37,1
40,1,1
40,2,1
40,37,1
41,1,1
41,2,1
41,11,1
41,12,2
41,37,1
42,2,1
42,37,1
43,1,1
43,2,1
43,29,1
43,37,1
43,39,1
44,2,2
44,9,1
44,11,1
44,12,1
44,17,1
44,37,2
45,1,1
45,2,1
45,11,1
45,12,1
45,29,1
45,37,1
45,39,1
46,1,1
46,2,1
46,26,1
46,37,1
47,1,1
47,2,2
47,11,1
47,12,1
47,22,1
47,37,2
48,1,2
48,2,1
48,37,1
49,1,1
49,2,1
49,11,1
49,12,1
49,37,1
50,2,1
50,7,1
50,9,1
50,37,1
51,1,1
51,2,1
51,8,1
51,9,1
51,37,1
52,1,1
52,2,1
52,30,1
52,37,1
53,1,1
53,2,1
53,25,1
53,37,1
53,39,1
54,1,1
54,2,1
54,30,1
54,37,1
55,1,1
55,2,1
55,37,1
56,1,1
56,2,1
56,9,1
56,11,1
56,12,1
56,22,1
56,37,1
57,1,1
57,2,1
57,25,1
57,37,1
58,1,1
58,2,1
58,4,1
58,37,1
59,1,1
59,2,1
59,29,1
59,37,1
60,1,1
60,2,1
60,26,1
60,37,1
61,1,1
61,2,1
61,11,1
61,12,1
61,37,1
62,1,1
62,2,1
62,37,1
62,39,1
63,1,1
63,2,1
63,26,1
63,37,1
64,1,1
64,2,1
64,11,1
64,12,1
64,37,1
65,1,1
65,2,1
65,9,1
65,25,1
65,37,1
66,1,2
66,2,2
66,37,2
67,1,1
67,2,1
67,26,1
67,27,1
67,29,1
67,37,1
67,39,1
68,1,1
68,2,1
68,11,1
68,12,1
68,37,1
69,2,1
69,10,1
69,26,1
69,27,1
69,37,1
70,1,1
70,2,1
70,37,1
71,1,1
71,2,1
71,11,1
71,12,2
71,37,1
72,2,1
72,37,1
73,2,1
73,11,1
73,12,1
73,37,1
74,1,1
74,2,1
74,37,1
75,1,1
75,2,1
75,11,1
75,12,1
75,37,1
76,1,1
76,2,2
76,37,2
77,2,1
77,3,1
77,11,1
77,12,1
77,37,1
78,1,1
78,2,1
78,11,1
78,12,1
78,37,1
79,1,1
79,2,1
79,37,1
80,1,1
80,2,1
80,11,1
80,12,1
80,37,1
81,1,1
81,2,1
81,11,1
81,12,1
81,37,1
82,1,1
82,2,1
82,10,1
82,37,1
83,1,1
83,2,1
83,11,1
83,12,1
83,37,1
84,1,1
84,2,1
84,11,1
84,12,1
84,37,1
85,2,1
85,11,1
85,12,1
85,37,1
86,1,1
86,2,1
86,11,1
86,12,1
86,37,1
87,1,2
87,2,1
87,11,1
87,12,1
87,37,1
88,1,1
88,2,1
88,10,1
88,29,1
88,37,1
88,39,1
89,2,1
89,37,1
90,1,1
90,2,1
90,37,1
91,1,1
91,2,1
91,37,1
92,1,1
92,2,1
92,11,1
92,12,1
92,37,1
93,2,1
93,37,1
94,2,1
94,37,1
95,1,1
95,2,2
95,11,1
95,12,1
95,37,2
96,2,1
96,30,1
96,37,1
97,1,1
97,2,1
97,27,1
97,37,1
98,1,1
98,2,1
98,26,1
98,27,1
98,37,1
99,1,1
99,2,1
99,11,1
99,12,1
99,37,1
100,1,1
100,2,1
100,11,1
100,12,1
100,37,1
101,1,1
101,2,1
101,8,1
101,11,1
101,12,1
101,27,1
101,37,1
102,1,1
102,2,1
102,37,1
103,2,1
103,37,1
103,41,1
104,2,1
104,37,2
104,39,1
105,1,1
105,2,1
105,9,1
105,26,1
105,37,1
106,1,1
106,2,1
106,37,1
107,1,1
107,2,1
107,37,1
108,1,1
108,2,1
108,37,1
109,1,1
109,2,1
109,37,1
110,1,1
110,2,1
110,11,1
110,37,1
111,1,1
111,2,1
111,15,1
111,37,1
112,1,1
112,2,1
112,11,1
112,12,1
112,17,1
112,37,1
113,1,1
113,2,1
113,11,1
113,12,1
113,37,1
114,1,1
114,2,1
114,33,1
114,37,1
115,2,2
115,37,2
116,1,1
116,2,1
116,4,1
116,11,1
116,37,1
116,39,1
117,1,1
117,2,1
117,11,1
117,12,1
117,37,1
118,1,2
118,2,2
118,12,1
118,37,2
119,1,1
119,2,1
119,11,1
119,37,1
120,1,1
120,2,1
120,37,1
121,1,1
121,2,1
121,7,3
121,11,1
121,12,1
121,37,1
122,1,1
122,2,1
122,8,1
122,9,1
122,26,1
122,37,2
123,1,1
123,2,1
123,11,1
123,37,1
124,1,1
124,2,1
124,37,1
125,1,1
125,2,1
125,11,1
125,12,1
125,37,1
126,2,1
126,37,1
127,1,1
127,2,1
127,37,1
128,1,1
128,2,1
128,37,1
129,1,1
129,2,1
129,11,1
129,37,1
129,40,1
130,1,1
130,2,1
130,9,2
130,30,1
130,37,1
131,1,1
131,2,1
131,37,1
132,1,1
132,2,1
132,11,1
132,12,1
132,37,1
133,1,2
133,2,2
133,8,1
133,26,1
133,27,1
133,37,2
134,1,1
134,2,1
134,9,1
134,17,1
134,37,1
135,2,1
135,37,1
135,41,1
136,1,1
136,2,1
136,9,1
136,37,1
137,1,2
137,2,2
137,11,1
137,12,1
137,37,2
138,1,2
138,2,2
138,11,2
138,12,2
138,37,2
139,1,1
139,2,1
139,11,1
139,12,1
139,27,1
139,37,1
140,1,1
140,2,1
140,10,1
140,11,1
140,37,1
141,1,1
141,2,2
141,12,1
141,35,1
141,37,2
142,1,1
142,2,1
142,11,1
142,12,1
142,37,1
143,1,1
143,2,1
143,37,1
144,1,1
144,2,1
144,12,1
144,37,1
145,1,1
145,2,1
145,37,1
146,1,1
146,2,2
146,12,1
146,37,2
147,1,1
147,2,1
147,9,1
147,11,1
147,12,1
147,25,1
147,37,1
148,1,1
148,2,1
148,9,1
148,12,1
148,37,1
149,1,1
149,2,1
149,11,1
149,12,1
149,37,1
150,2,1
150,26,1
150,37,1
151,1,1
151,2,1
151,4,1
151,37,1
152,1,1
152,2,1
152,37,1
153,1,1
153,2,1
153,37,1
154,2,1
154,9,1
154,11,1
154,12,1
154,25,1
154,37,1
155,1,1
155,2,1
155,11,1
155,12,1
155,37,1
157,1,1
157,2,1
157,37,1
158,2,1
158,37,1
158,41,1
159,1,1
159,2,1
159,37,1
160,1,1
160,2,1
160,11,1
160,12,1
160,37,1
161,1,1
161,2,1
161,9,1
161,11,1
161,12,2
161,37,1
162,1,1
162,2,1
162,9,1
162,37,1
163,1,1
163,2,1
163,11,1
163,12,1
163,37,1
164,1,1
164,2,2
164,37,2
165,1,1
165,2,1
165,37,1
166,1,1
166,2,1
166,11,1
166,37,1
167,1,1
167,2,1
167,37,1
168,1,1
168,2,1
168,11,1
168,12,1
168,22,1
168,37,1
169,1,1
169,2,1
169,9,1
169,11,1
169,37,1
170,1,1
170,2,1
170,11,1
170,12,2
170,37,1
171,1,1
171,2,1
171,11,1
171,12,1
171,37,1
172,1,1
172,2,1
172,37,1
173,2,1
173,30,1
173,37,1
174,1,1
174,2,1
174,37,1
175,2,2
175,11,1
175,12,1
175,26,1
175,37,2
176,1,1
176,2,1
176,11,1
176,12,1
176,37,1
177,1,1
177,2,1
177,37,1
178,2,1
178,11,1
178,37,1
179,1,1
179,2,1
179,37,1
180,1,1
180,2,1
180,11,1
180,12,1
180,37,1
181,11,1
181,12,1
182,1,1
182,2,1
182,12,1
182,37,1
183,1,1
183,2,1
183,37,1
184,1,2
184,2,2
184,11,1
184,12,1
184,37,2
185,1,1
185,2,1
185,11,1
185,12,1
185,22,1
185,25,1
185,37,1
186,1,1
186,2,1
186,11,1
186,12,1
186,37,1
187,1,1
187,2,1
187,11,1
187,12,1
187,37,1
188,1,1
188,2,1
188,37,1
189,1,2
189,2,1
189,25,1
189,37,1
190,1,1
190,2,1
190,9,1
190,25,1
190,37,1
191,2,1
191,37,1
192,1,1
192,2,1
192,11,1
192,12,1
192,37,1
193,2,1
193,7,1
193,20,1
193,37,1
193,42,1
194,1,2
194,2,2
194,11,2
194,12,2
194,37,2
195,1,1
195,2,1
195,12,1
195,25,1
195,37,1
196,1,1
196,2,1
196,29,1
196,37,1
197,1,1
197,2,1
197,37,1
198,2,2
198,11,1
198,12,1
198,17,1
198,37,2
199,1,1
199,2,1
199,11,1
199,12,1
199,37,1
200,2,2
200,12,1
200,37,2
201,1,1
201,2,1
201,12,1
201,37,1
202,2,1
202,11,1
202,12,1
202,37,1
203,1,1
203,2,1
203,37,1
204,1,1
204,2,1
204,37,1
205,1,1
205,2,1
205,37,1
206,1,1
206,2,1
206,9,1
206,37,1
207,2,1
207,11,2
207,37,1
208,1,1
208,2,1
208,12,1
208,37,1
209,1,1
209,2,1
209,29,2
209,37,1
210,2,1
210,11,1
210,12,1
210,37,1
211,1,1
211,2,1
211,11,1
211,37,1
212,1,1
212,2,1
212,37,1
213,1,1
213,2,1
213,11,1
213,12,1
213,26,1
213,37,1
214,1,1
214,2,1
214,11,1
214,12,1
214,37,1
215,2,2
215,11,1
215,12,1
215,16,1
215,37,2
216,1,1
216,2,1
216,37,1
216,41,1
217,1,1
217,2,1
217,11,1
217,37,1
218,1,1
218,2,1
218,8,1
218,37,1
219,1,1
219,2,1
219,11,1
219,37,1
220,1,1
220,2,1
220,9,1
220,37,1
221,1,2
221,2,1
221,32,1
221,37,1
222,2,1
222,25,1
222,37,1
223,1,2
223,2,2
223,37,2
224,1,2
224,2,2
224,8,1
224,9,1
224,11,1
224,12,1
224,26,1
224,37,2
225,1,1
225,2,1
225,9,1
225,37,1
226,1,1
226,2,1
226,37,1
227,1,2
227,2,2
227,37,2
228,1,3
228,2,2
228,37,2
229,1,2
229,2,1
229,11,1
229,12,1
229,37,1
230,1,2
230,2,1
230,11,2
230,12,2
230,37,1
231,1,1
231,2,1
231,37,1
232,1,1
232,2,1
232,11,1
232,12,1
232,26,1
232,37,1
233,1,1
233,2,2
233,9,1
233,37,2
234,1,1
234,2,1
234,37,1
235,1,1
235,2,1
235,11,1
235,37,1
236,1,1
236,2,2
236,3,1
236,8,1
236,11,1
236,12,1
236,26,1
236,27,1
236,37,2
237,2,1
237,30,1
237,37,1
238,1,1
238,2,1
238,37,1
239,1,1
239,2,1
239,11,1
239,12,1
239,29,1
239,37,1
239,39,1
240,2,1
240,37,1
241,1,1
241,2,1
241,12,1
241,37,1
242,2,1
242,27,1
242,37,1
243,1,1
243,2,1
243,11,1
243,12,1
243,37,1
244,1,1
244,2,1
244,9,2
244,11,1
244,12,1
244,37,1
245,12,1
246,1,1
246,2,1
246,37,1
247,1,1
247,2,1
247,11,1
247,12,2
247,37,1
248,1,1
248,2,2
248,37,2
249,1,1
249,2,1
249,37,2
249,38,1
250,1,1
250,2,1
250,11,1
250,12,1
250,37,1
251,1,1
251,2,1
251,11,1
251,12,1
251,26,1
251,37,1
252,1,1
252,2,1
252,11,1
252,12,1
252,37,1
253,2,1
253,37,1
254,1,1
254,2,1
254,37,1
255,1,2
255,2,2
255,37,2
256,1,1
256,2,1
256,11,1
256,12,1
256,37,1
257,2,1
257,37,1
258,1,1
258,2,2
258,37,2
259,1,1
259,2,1
259,11,1
259,12,1
259,29,1
259,37,1
260,1,1
260,2,1
260,37,1
260,39,2
261,1,1
261,2,3
261,25,1
261,37,3
262,1,1
262,2,1
262,11,1
262,37,1
263,1,2
263,2,1
263,11,1
263,12,1
263,31,1
263,32,1
263,37,1
264,2,1
264,37,1
265,1,1
265,2,1
265,11,1
265,12,1
265,37,1
266,1,1
266,2,1
266,26,1
266,37,1
267,1,1
267,2,1
267,37,1
268,1,1
268,2,1
268,11,1
268,12,1
268,37,1
269,1,1
269,2,1
269,12,1
269,37,1
269,41,1
270,1,1
270,2,1
270,37,1
271,1,1
271,2,1
271,37,1
272,1,1
272,2,1
272,37,1
273,1,1
273,2,1
273,30,1
273,37,1
273,39,1
274,1,1
274,2,1
274,31,1
274,32,1
274,37,1
275,2,1
275,12,2
275,14,1
275,37,1
276,1,1
276,2,1
276,11,1
276,37,1
277,1,1
277,2,1
277,11,1
277,12,1
277,37,1
278,1,1
278,2,1
278,11,1
278,12,2
278,17,1
278,37,1
279,1,1
279,2,1
279,9,1
279,37,1
280,1,1
280,2,1
280,11,1
280,12,1
280,26,1
280,37,1
281,1,1
281,2,1
281,37,1
282,1,6
282,2,3
282,11,1
282,25,3
282,37,3
283,1,1
283,2,1
283,9,1
283,37,1
284,1,1
284,2,1
284,12,1
284,30,1
284,37,1
285,2,1
285,16,1
285,37,1
285,39,1
286,1,2
286,2,4
286,11,1
286,12,1
286,37,4
287,1,1
287,2,1
287,11,1
287,12,1
287,37,1
288,1,1
288,2,1
288,4,1
288,9,2
288,25,1
288,26,1
288,37,1
289,1,1
289,2,1
289,9,1
289,11,1
289,12,1
289,29,1
289,37,1
289,39,1
290,1,1
290,2,1
290,37,1
291,1,1
291,2,1
291,26,1
291,37,1
292,1,1
292,2,1
292,37,1
293,2,1
293,37,1
294,1,1
294,2,1
294,37,1
295,1,1
295,2,1
295,37,1
296,1,1
296,2,1
296,12,1
296,37,1
297,1,1
297,2,1
297,9,3
297,37,1
298,2,1
298,12,1
298,37,1
299,1,1
299,2,1
299,26,1
299,37,2
300,1,1
300,2,1
300,37,1
301,2,1
301,37,1
302,1,1
302,2,1
302,37,1
303,1,1
303,2,1
303,9,1
303,37,1
304,1,1
304,2,1
304,15,1
304,37,1
305,1,1
305,2,1
305,37,1
306,2,1
306,37,1
307,1,1
307,2,1
307,37,1
308,1,2
308,2,2
308,8,1
308,26,1
308,27,1
308,37,2
309,1,1
309,2,1
309,37,1
310,2,1
310,37,1
310,41,1
311,1,1
311,2,1
311,37,1
312,1,2
312,2,1
312,11,1
312,12,1
312,37,1
313,2,1
313,37,1
313,39,1
314,1,1
314,2,1
314,11,1
314,12,1
314,37,1
315,2,1
315,11,1
315,12,1
315,37,1
316,2,1
316,9,1
316,37,1
317,1,1
317,2,1
317,8,1
317,37,1
318,1,1
318,2,1
318,9,1
318,26,1
318,37,1
319,1,1
319,2,1
319,9,1
319,37,1
320,2,2
320,37,2
321,1,1
321,2,1
321,11,1
321,12,1
321,37,1
322,1,2
322,2,2
322,11,1
322,37,2
323,1,1
323,2,1
323,26,1
323,37,1
324,1,1
324,2,1
324,37,1
325,1,1
325,2,1
325,37,1
326,1,1
326,2,1
326,10,1
326,37,1
327,1,1
327,2,1
327,11,1
327,37,1
328,1,1
328,2,1
328,37,1
329,1,1
329,2,1
329,37,1
330,2,1
330,11,1
330,12,1
330,37,1
331,2,1
331,37,1
332,2,1
332,11,2
332,12,2
332,37,1
333,1,1
333,2,2
333,11,1
333,12,1
333,37,2
334,1,1
334,2,2
334,11,1
334,12,1
334,37,2
335,1,1
335,2,1
335,37,1
336,1,1
336,2,2
336,37,2
337,1,1
337,2,1
337,9,1
337,37,1
338,1,1
338,2,1
338,37,1
339,1,1
339,2,1
339,11,1
339,12,1
339,37,1
340,2,1
340,11,1
340,12,1
340,37,1
341,1,1
341,2,1
341,30,1
341,37,1
342,2,1
342,37,1
343,1,1
343,2,1
343,8,1
343,11,1
343,12,1
343,26,1
343,37,1
344,1,1
344,2,1
344,30,1
344,37,1
345,12,1
346,1,1
346,2,1
346,4,1
346,10,1
346,37,1
347,2,1
347,11,1
347,12,1
347,37,1
348,1,1
348,2,1
348,11,1
348,12,1
348,37,1
349,2,1
349,22,1
349,27,1
349,37,2
350,2,1
350,37,1
351,1,1
351,2,1
351,37,1
352,2,1
352,37,1
352,39,1
353,1,1
353,2,1
353,9,1
353,37,1
354,1,1
354,2,1
354,11,1
354,12,1
354,37,1
355,1,1
355,2,1
355,11,1
355,12,1
355,29,1
355,37,1
356,1,1
356,2,1
356,37,1
356,39,2
357,2,2
357,30,1
357,37,2
358,1,1
358,2,1
358,9,1
358,37,1
359,1,1
359,2,2
359,11,1
359,12,1
359,37,2
360,1,3
360,2,1
360,25,1
360,37,1
361,1,1
361,2,1
361,37,1
362,1,2
362,2,2
362,37,2
363,1,1
363,2,1
363,9,1
363,26,1
363,37,1
363,38,1
364,1,1
364,2,1
364,9,1
364,11,1
364,12,1
364,37,1
365,1,1
365,2,1
365,8,1
365,11,1
365,12,1
365,27,1
365,37,1
366,2,1
366,37,1
367,2,1
367,37,1
368,1,1
368,2,1
368,22,1
368,37,1
369,1,1
369,2,1
369,37,1
369,39,1
369,41,1
370,1,1
370,2,1
370,12,1
370,30,1
370,37,1
372,1,1
372,2,1
372,33,1
372,37,1
373,1,1
373,2,1
373,11,1
373,12,1
373,37,1
374,1,1
374,2,1
374,37,1
375,1,1
375,2,1
375,11,1
375,12,1
375,37,1
376,1,1
376,2,1
376,8,1
376,37,1
377,11,1
378,1,1
378,2,1
378,37,1
378,42,1
379,1,1
379,2,1
379,9,1
379,11,1
379,12,1
379,32,1
379,37,1
380,1,1
380,2,1
380,11,1
380,12,1
380,33,1
380,37,1
381,2,1
381,9,1
381,37,1
382,2,2
382,8,1
382,37,2
384,1,1
384,2,1
384,32,1
384,37,1
385,1,1
385,2,1
385,11,1
385,12,1
385,26,1
385,37,1
386,2,1
386,9,1
386,37,1
387,1,1
387,2,1
387,11,1
387,12,1
387,37,1
388,1,1
388,2,1
388,11,1
388,37,1
389,1,1
389,2,1
389,11,1
389,12,1
389,37,1
390,1,1
390,2,1
390,11,2
390,12,2
390,37,1
391,1,1
391,2,1
391,11,1
391,12,1
391,15,1
391,37,1
392,2,1
392,11,1
392,12,1
392,37,1
393,1,2
393,2,2
393,17,2
393,25,1
393,37,2
394,1,1
394,2,1
394,11,1
394,37,1
395,1,1
395,2,1
395,8,1
395,11,1
395,12,1
395,37,1
396,1,1
396,2,1
396,37,1
397,1,1
397,2,2
397,37,2
398,37,1
399,1,1
399,2,1
399,37,1
400,2,1
400,12,1
400,37,1
401,1,1
401,2,1
401,11,1
401,37,1
402,1,1
402,2,2
402,37,2
403,1,1
403,2,2
403,10,1
403,37,2
404,1,2
404,2,1
404,37,1
405,2,1
405,11,1
405,12,1
405,37,1
406,1,1
406,2,1
406,37,1
407,1,1
407,2,1
407,9,1
407,37,1
408,1,1
408,2,1
408,30,1
408,37,1
409,1,1
409,2,1
409,11,1
409,12,1
409,37,1
410,1,1
410,2,1
410,35,1
410,37,1
411,1,1
411,2,1
411,12,1
411,37,1
412,1,1
412,2,1
412,37,1
413,1,1
413,2,1
413,37,1
414,1,1
414,2,2
414,37,2
415,1,1
415,2,2
415,37,3
416,1,1
416,2,1
416,9,1
416,37,1
417,1,1
417,2,1
417,30,1
417,37,1
418,1,1
418,2,1
418,11,1
418,12,1
418,37,1
419,1,1
419,2,1
419,37,3
420,1,1
420,2,1
420,10,1
420,37,1
421,1,1
421,2,2
421,37,2
422,1,1
422,2,1
422,29,1
422,37,1
422,39,1
423,1,1
423,2,1
423,37,1
424,2,1
424,11,1
424,12,1
424,26,1
424,37,1
425,1,1
425,2,1
425,11,1
425,12,1
425,37,1
426,1,1
426,2,1
426,11,1
426,12,1
426,37,1
427,1,1
427,2,1
427,11,1
427,12,1
427,26,1
427,37,1
428,1,1
428,2,1
428,37,2
429,1,1
429,2,1
429,11,1
429,12,1
429,37,1
430,1,1
430,2,1
430,11,1
430,12,1
430,37,1
431,2,2
431,11,1
431,12,1
431,37,2
432,1,1
432,2,1
432,11,1
432,12,1
432,37,1
433,1,2
433,2,3
433,11,1
433,12,1
433,37,3
434,1,1
434,2,1
434,37,1
435,1,1
435,2,1
435,11,1
435,37,1
436,1,1
436,2,1
436,37,1
437,1,1
437,2,1
437,11,1
437,12,1
437,37,1
438,1,1
438,2,1
438,37,1
439,1,1
439,2,1
439,7,1
439,8,1
439,37,1
440,1,1
440,2,1
440,11,1
440,12,1
440,17,1
440,37,1
441,1,1
441,2,1
441,10,1
441,30,1
441,37,1
442,1,1
442,2,1
442,11,1
442,12,1
442,37,1
443,2,1
443,11,1
443,12,1
443,37,1
444,1,1
444,2,1
444,9,1
444,37,1
445,1,1
445,2,1
445,11,1
445,12,1
445,29,1
445,37,1
446,1,1
446,2,1
446,29,1
446,37,1
446,39,1
447,2,1
447,30,1
447,37,1
448,1,2
448,2,2
448,11,2
448,12,2
448,37,2
449,1,1
449,2,1
449,12,1
449,37,1
450,2,1
450,11,1
450,12,1
450,17,1
450,37,1
